oi_id,quantity,datetime,product_name,product_price
347,1,2019-07-31 17:16:00,Bombay Aloo,5.95
348,1,2019-07-31 17:16:00,Madras - Lamb,7.95
349,1,2019-07-31 13:55:00,Lamb Biryani,9.95
350,1,2019-07-31 13:55:00,Lamb Tikka Chilli Masala,8.95
351,1,2019-07-31 13:55:00,Garlic Naan,2.95
352,1,2019-07-30 21:05:00,Paneer Tikka Sizzler,9.95
353,1,2019-07-30 21:05:00,Vindaloo Sauce,3.95
354,1,2019-07-30 21:05:00,Plain Rice,2.95
355,1,2019-07-30 21:05:00,French Fries,3.95
356,1,2019-07-30 20:10:00,Chicken Mysore,9.95
357,3,2019-07-30 20:10:00,Garlic Naan,2.95
358,1,2019-07-30 20:10:00,Lamb Chilli Garlic,9.95
359,1,2019-07-30 19:55:00,Aloo Chaat,4.95
360,1,2019-07-30 19:55:00,Tandoori Mixed Grill,11.95
361,1,2019-07-30 19:55:00,Tandoori Roti,2.6
362,1,2019-07-30 18:43:00,King Prawn Puree,5.95
363,1,2019-07-30 18:43:00,Plain Papadum,0.8
364,1,2019-07-30 18:43:00,Chicken Shashlick,9.95
365,1,2019-07-30 18:43:00,Bhindi Bhajee,5.95
366,1,2019-07-30 18:43:00,Dhansak Sauce,3.95
367,2,2019-07-30 18:43:00,Onion Bhajee,3.95
368,1,2019-07-30 18:43:00,Tarka Dall,5.95
369,1,2019-07-30 18:43:00,Saag Paneer,5.95
370,1,2019-07-30 18:43:00,Baingan Hari Mirch,5.95
371,1,2019-07-30 18:38:00,Madras - Chicken,7.95
372,1,2019-07-30 18:38:00,Lemon Rice,3.95
373,1,2019-07-30 18:38:00,Spicy Papadum,0.8
374,1,2019-07-30 18:38:00,French Fries,3.95
375,1,2019-07-30 18:33:00,Mint Sauce,0.5
376,1,2019-07-30 18:33:00,Lime Pickle,0.5
377,2,2019-07-30 18:01:00,Mango Chutney,0.5
378,1,2019-07-30 17:35:00,Red Sauce,0.5
379,1,2019-07-30 17:00:00,Onion Chutney,0.5
380,1,2019-07-30 17:00:00,Red Sauce,0.5
381,1,2019-07-29 22:21:00,Red Sauce,0.5
382,1,2019-07-29 20:03:00,Mango Chutney,0.5
383,1,2019-07-29 17:20:00,Mint Sauce,0.5
384,1,2019-07-28 20:00:00,Mango Chutney,0.5
385,1,2019-07-28 20:00:00,Mint Sauce,0.5
386,1,2019-07-28 20:00:00,Onion Chutney,0.5
387,1,2019-07-28 19:29:00,Onion Chutney,0.5
388,1,2019-07-28 19:29:00,Mango Chutney,0.5
389,1,2019-07-28 19:29:00,Mint Sauce,0.5
390,1,2019-07-28 17:58:00,Mango Chutney,0.5
391,1,2019-07-28 17:58:00,Mint Sauce,0.5
392,1,2019-07-28 17:41:00,Mango Chutney,0.5
393,1,2019-07-28 17:10:00,Mango Chutney,0.5
394,1,2019-07-27 20:28:00,Mango Chutney,0.5
395,1,2019-07-27 20:28:00,Mint Sauce,0.5
396,2,2019-07-27 19:49:00,Mango Chutney,0.5
397,1,2019-07-27 19:49:00,Lime Pickle,0.5
398,1,2019-07-27 19:36:00,Mango Chutney,0.5
399,1,2019-07-27 19:35:00,Mint Sauce,0.5
400,1,2019-07-27 19:35:00,Red Sauce,0.5
401,1,2019-07-27 19:35:00,Mint Sauce,0.5
402,1,2019-07-27 19:35:00,Mango Chutney,0.5
403,2,2019-07-27 19:23:00,Mint Sauce,0.5
404,1,2019-07-27 18:56:00,Mango Chutney,0.5
405,1,2019-07-27 18:56:00,Mint Sauce,0.5
406,1,2019-07-27 18:18:00,Mango Chutney,0.5
407,1,2019-07-27 18:11:00,Mango Chutney,0.5
408,1,2019-07-27 18:01:00,Mint Sauce,0.5
409,1,2019-07-27 18:01:00,Mango Chutney,0.5
410,2,2019-07-27 16:55:00,Onion Chutney,0.5
411,2,2019-07-27 16:55:00,Red Sauce,0.5
412,2,2019-07-27 16:55:00,Mint Sauce,0.5
413,1,2019-07-27 16:55:00,Mango Chutney,0.5
414,1,2019-07-27 16:55:00,Lime Pickle,0.5
415,1,2019-07-26 20:42:00,Mint Sauce,0.5
416,1,2019-07-26 19:51:00,Mango Chutney,0.5
417,1,2019-07-26 19:42:00,Mango Chutney,0.5
418,1,2019-07-26 19:42:00,Red Sauce,0.5
419,1,2019-07-26 19:42:00,Red Sauce,0.5
420,1,2019-07-26 19:42:00,Mango Chutney,0.5
421,1,2019-07-26 19:42:00,Mint Sauce,0.5
422,1,2019-07-26 19:33:00,Red Sauce,0.5
423,1,2019-07-26 19:33:00,Mango Chutney,0.5
424,1,2019-07-26 19:33:00,Mint Sauce,0.5
425,1,2019-07-26 19:12:00,Mint Sauce,0.5
426,1,2019-07-26 19:12:00,Red Sauce,0.5
427,1,2019-07-26 18:32:00,Mango Chutney,0.5
428,1,2019-07-26 18:14:00,Mango Chutney,0.5
429,1,2019-07-26 18:14:00,Lime Pickle,0.5
430,1,2019-07-26 17:56:00,Mango Chutney,0.5
431,2,2019-07-26 17:46:00,Mint Sauce,0.5
432,1,2019-07-26 17:46:00,Onion Chutney,0.5
433,1,2019-07-26 17:46:00,Red Sauce,0.5
434,1,2019-07-26 17:46:00,Lime Pickle,0.5
435,1,2019-07-25 19:51:00,Onion Chutney,0.5
436,1,2019-07-25 19:51:00,Red Sauce,0.5
437,2,2019-07-25 19:50:00,Mango Chutney,0.5
438,1,2019-07-25 19:11:00,Mint Sauce,0.5
439,1,2019-07-25 19:11:00,Mango Chutney,0.5
440,1,2019-07-25 17:23:00,Lime Pickle,0.5
441,1,2019-07-24 23:08:00,Mango Chutney,0.5
442,1,2019-07-24 23:08:00,Mint Sauce,0.5
443,1,2019-07-24 23:08:00,Onion Chutney,0.5
444,1,2019-07-23 21:30:00,Mint Sauce,0.5
445,2,2019-07-23 19:54:00,Mango Chutney,0.5
446,1,2019-07-23 19:26:00,Red Sauce,0.5
447,1,2019-07-23 19:26:00,Mint Sauce,0.5
448,1,2019-07-22 20:14:00,Onion Chutney,0.5
449,1,2019-07-22 20:14:00,Mint Sauce,0.5
450,1,2019-07-22 20:14:00,Red Sauce,0.5
451,2,2019-07-21 18:55:00,Mango Chutney,0.5
452,1,2019-07-21 18:55:00,Mint Sauce,0.5
453,1,2019-07-21 18:47:00,Mango Chutney,0.5
454,1,2019-07-21 17:26:00,Onion Chutney,0.5
455,1,2019-07-21 14:36:00,Lime Pickle,0.5
456,1,2019-07-20 21:17:00,Red Sauce,0.5
457,1,2019-07-20 20:15:00,Mango Chutney,0.5
458,1,2019-07-20 19:47:00,Mango Chutney,0.5
459,1,2019-07-20 19:47:00,Mint Sauce,0.5
460,1,2019-07-20 19:04:00,Mint Sauce,0.5
461,1,2019-07-20 19:04:00,Onion Chutney,0.5
462,1,2019-07-20 19:04:00,Mint Sauce,0.5
463,1,2019-07-20 19:04:00,Onion Chutney,0.5
464,1,2019-07-20 18:58:00,Mango Chutney,0.5
